,Unnamed: 0,Age,Gender,Location,Income,Decision maker,movie ticket,medium pizza,coca cola,oven,shampoo,Leisure; entertainment and travel,Food and dishes,Commodities and groceries,Productivity; gadgets and technology,Lifestyle; beauty and clothing,Leisure; entertainment and travel.1,Food and dishes.1,Commodities and groceries.1,Productivity; gadgets and technology.1,Lifestyle; beauty and clothing.1,decrease Leisure; entertainment and travel,decrease Food and dishes,decrease Commodities and groceries,decrease Productivity; gadgets and technology,decerase Lifestyle; beauty and clothing,payment preference,shopping preference,planned or preplanned,transaction frequency,willingness for additional charges,feeling towards discount,brand charges more than another,time category,movie ticket price,medium pizza price,coca cola price,oven price,shampoo price,movie ticket_label,medium pizza_label,coca cola_label,oven_label,shampoo_label
27,27,18-24,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",240,100,45,3000,150,Overcharged,Fairly Charged,Overcharged,Fairly Charged,Overcharged,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Digital,Indifferent,Indifferent,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Underestimated,Accurate,Underestimated,Underestimated,accurate,more than 20% under,5-20% over,more than 20% under,more than 20% under
28,28,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,400,360,80,9000,150,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Spontaneous,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Overestimated,Overestimated,Overestimated,Accurate,Underestimated,more than 20% over,5-20% over,more than 20% over,more than 20% over,more than 20% under
29,29,18-24,Female,Other,"Above Rs. 5,00,000","Yes, but only for myself",250,200,40,15000,300,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Accurate,Accurate,Overestimated,Accurate,accurate,more than 20% under,accurate,more than 20% over,accurate
30,30,18-24,Female,Bangalore,"Rs. 2,00,000- 5,00,000",No,350,450,40,12000,230,Fairly Charged,Overcharged,Fairly Charged,Overcharged,Fairly Charged,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Digital,Online,Indifferent,Indifferent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Underestimated,more than 20% over,more than 20% over,accurate,more than 20% over,more than 20% under
31,31,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000",No,300,400,40,10000,250,Fairly Charged,Overcharged,Fairly Charged,Overcharged,Overcharged,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Digital,Offline,Pre Planned,More Frequent,0.1,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,5-20% over,more than 20% over,accurate,more than 20% over,5-20% under
32,32,25-34,Male,Bangalore,"Above Rs. 5,00,000","Yes, but only for myself",350,300,70,15000,200,Overcharged,Overcharged,Undercharged,Overcharged,Overcharged,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Indifferent,,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Accurate,Overestimated,Overestimated,Underestimated,more than 20% over,accurate,more than 20% over,more than 20% over,more than 20% under
33,33,18-24,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000",No,220,280,50,13000,175,Overcharged,Overcharged,Undercharged,Overcharged,Overcharged,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Indifferent,Indifferent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,5-20% under,5-20% under,more than 20% over,more than 20% over,more than 20% under
34,34,18-24,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,400,70,16000,250,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,Indifferent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Overestimated,Overestimated,Accurate,5-20% over,more than 20% over,more than 20% over,more than 20% over,5-20% under
35,35,25-34,Female,Kolkata,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",220,300,50,18000,200,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Less Frequent,0.1,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,5-20% under,accurate,more than 20% over,more than 20% over,more than 20% under
36,36,18-24,Male,Mumbai,"Rs. 2,00,000- 5,00,000",No,330,300,50,18000,250,Overcharged,Overcharged,Fairly Charged,Overcharged,Fairly Charged,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Indifferent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Excessive Time,Overestimated,Accurate,Overestimated,Overestimated,Accurate,more than 20% over,accurate,more than 20% over,more than 20% over,5-20% under
37,37,18-24,Female,Mumbai,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,400,50,5000,450,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Digital,Online,Spontaneous,More Frequent,0.1,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Overestimated,Overestimated,Underestimated,Overestimated,5-20% under,more than 20% over,more than 20% over,more than 20% under,more than 20% over
38,38,18-24,Female,Other,"Above Rs. 5,00,000",No,250,200,80,6000,150,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Spontaneous,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Overestimated,Underestimated,Underestimated,accurate,more than 20% under,more than 20% over,5-20% under,more than 20% under
39,39,25-34,Female,Mumbai,"Above Rs. 5,00,000","Yes, but only for myself",300,200,75,5000,95,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Less Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Overestimated,Underestimated,Underestimated,5-20% over,more than 20% under,more than 20% over,more than 20% under,more than 20% under
40,40,18-24,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",400,300,40,5000,200,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,Less Frequent,0.2,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Overestimated,Accurate,Accurate,Underestimated,Underestimated,more than 20% over,accurate,accurate,more than 20% under,more than 20% under
41,41,18-24,Other,Mumbai,"Below Rs. 50,000",No,250,400,40,5000,400,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,No,No,No,No,No,No,No,No,No,Yes,Digital,Offline,Pre Planned,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Overestimated,Accurate,Underestimated,Overestimated,accurate,more than 20% over,accurate,more than 20% under,more than 20% over
42,42,18-24,Other,Delhi/NCR,"Rs. 2,00,000- 5,00,000",No,350,350,40,8000,200,Overcharged,Overcharged,Fairly Charged,Overcharged,Overcharged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Digital,Indifferent,Indifferent,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Overestimated,Accurate,Accurate,Underestimated,more than 20% over,5-20% over,accurate,5-20% over,more than 20% under
43,43,18-24,Female,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",200,350,60,2500,140,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Digital,Online,Spontaneous,More Frequent,0.05,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Overestimated,Overestimated,Underestimated,Underestimated,5-20% under,5-20% over,more than 20% over,more than 20% under,more than 20% under
44,44,18-24,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,280,50,14000,275,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Accurate,Overestimated,Overestimated,Accurate,5-20% over,5-20% under,more than 20% over,more than 20% over,5-20% under
45,45,25-34,Male,Other,"Above Rs. 5,00,000","Yes, for the whole household",220,300,70,14000,275,Fairly Charged,Fairly Charged,Undercharged,Overcharged,Overcharged,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Accurate,Overestimated,Overestimated,Accurate,5-20% under,accurate,more than 20% over,more than 20% over,5-20% under
46,46,18-24,Female,Kolkata,"Rs. 50,000- 2,00,000","Yes, but only for myself",330,450,50,18000,175,Fairly Charged,Overcharged,Undercharged,Fairly Charged,Overcharged,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,more than 20% over,more than 20% over,more than 20% over,more than 20% over,more than 20% under
47,47,18-24,Female,Other,"Rs. 2,00,000- 5,00,000",No,350,350,70,14000,175,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,more than 20% over,5-20% over,more than 20% over,more than 20% over,more than 20% under
48,48,18-24,Female,Delhi/NCR,"Below Rs. 50,000",No,300,350,30,12000,150,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Overestimated,Underestimated,Overestimated,Underestimated,5-20% over,5-20% over,more than 20% under,more than 20% over,more than 20% under
49,49,25-34,Female,Other,"Below Rs. 50,000",No,250,280,35,15000,150,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,No,No,No,No,No,Yes,Yes,Yes,No,No,Cash,Offline,Pre Planned,,0.2,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Accurate,Accurate,Overestimated,Underestimated,accurate,5-20% under,5-20% under,more than 20% over,more than 20% under
50,50,18-24,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",250,500,40,10000,250,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,accurate,more than 20% over,accurate,more than 20% over,5-20% under
51,51,18-24,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",250,500,40,8000,300,Overcharged,Overcharged,Fairly Charged,Overcharged,Overcharged,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,Less Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Accurate,Accurate,accurate,more than 20% over,accurate,5-20% over,accurate
