,Age,Gender,Location,Income,Decision maker,movie ticket,medium pizza,coca cola,oven,shampoo,Leisure; entertainment and travel,Food and dishes,Commodities and groceries,Productivity; gadgets and technology,Lifestyle; beauty and clothing,Leisure; entertainment and travel.1,Food and dishes.1,Commodities and groceries.1,Productivity; gadgets and technology.1,Lifestyle; beauty and clothing.1,decrease Leisure; entertainment and travel,decrease Food and dishes,decrease Commodities and groceries,decrease Productivity; gadgets and technology,decerase Lifestyle; beauty and clothing,payment preference,shopping preference,planned or preplanned,transaction frequency,willingness for additional charges,feeling towards discount,brand charges more than another,time category,movie ticket price,medium pizza price,coca cola price,oven price,shampoo price,Leisure; entertainment and travel_numeric,Food and dishes_numeric,Commodities and groceries_numeric,Productivity; gadgets and technology_numeric,Lifestyle; beauty and clothing_numeric,Payment Preference,Shopping Preference,Spontaneous or Preplanned,Transaction Frequency
11,18-24,Male,Other,"Above Rs. 5,00,000",No,180,250,40,15000,120,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,1,1,1,1,0,0,0,1,1,1,Indifferent,Indifferent,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Underestimated,Accurate,Accurate,Overestimated,Underestimated,1,1,1,1,1,3,3,5,2
12,18-24,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,250,40,10000,200,Undercharged,Fairly Charged,Fairly Charged,Overcharged,Undercharged,1,1,0,1,1,1,1,0,1,1,Indifferent,Offline,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Accurate,Accurate,Accurate,Overestimated,Underestimated,0,1,1,2,0,3,2,1,2
13,35-54,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",400,250,30,15000,150,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,1,1,1,1,1,1,1,0,1,0,Digital,Offline,Pre Planned,Less Frequent,0.05,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Overestimated,Accurate,Underestimated,Overestimated,Underestimated,2,2,1,1,2,5,1,1,1
14,18-24,Male,Delhi/NCR,"Below Rs. 50,000","Yes, for the whole household",350,375,50,9000,250,Overcharged,Overcharged,Overcharged,Fairly Charged,Overcharged,1,1,1,1,1,1,1,1,1,1,Digital,Online,Pre Planned,Indifferent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Moderate Time,Overestimated,Overestimated,Overestimated,Accurate,Accurate,2,2,2,1,2,4,4,2,3
15,18-24,Female,Delhi/NCR,"Below Rs. 50,000",No,350,370,60,3000,180,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,0,1,1,1,1,1,1,1,1,1,Digital,Offline,Spontaneous,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Overestimated,Underestimated,Underestimated,2,2,1,1,2,5,1,5,5
16,18-24,Female,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",300,500,50,6000,200,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,0,0,0,0,1,1,1,1,1,1,Digital,Online,Indifferent,Less Frequent,0.1,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Overestimated,Overestimated,Underestimated,Underestimated,2,1,1,1,2,4,5,3,2
17,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",250,500,40,8000,400,Fairly Charged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,1,1,1,1,1,1,1,1,1,1,Indifferent,Indifferent,Indifferent,Indifferent,0.1,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Overestimated,Accurate,Accurate,Overestimated,1,2,1,1,2,3,3,3,3
18,18-24,Female,Other,"Rs. 50,000- 2,00,000",No,300,250,20,10000,200,Fairly Charged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,1,0,1,0,0,1,1,1,0,1,Digital,Online,Pre Planned,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Underestimated,Overestimated,Underestimated,1,2,1,1,2,5,5,1,1
19,18-24,Female,Other,"Below Rs. 50,000",No,100,200,50,5000,120,Fairly Charged,Overcharged,Fairly Charged,Overcharged,Overcharged,1,1,1,1,0,1,1,1,1,1,Digital,Offline,Pre Planned,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Underestimated,Accurate,Overestimated,Underestimated,Underestimated,1,2,1,2,2,5,1,1,5
20,18-24,Female,Other,,"Yes, but only for myself",250,175,40,12000,140,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,0,1,1,0,0,1,0,0,1,1,Digital,Indifferent,Pre Planned,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Very Little Time,Accurate,Underestimated,Accurate,Overestimated,Underestimated,2,1,1,1,2,5,3,2,4
21,18-24,Female,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",450,550,150,45000,275,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,0,1,1,0,0,1,1,1,1,1,Digital,Indifferent,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,No Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,1,1,1,1,1,5,3,5,2
22,18-24,Female,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,350,50,20000,650,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,1,0,1,0,1,1,1,0,1,1,Digital,Online,Spontaneous,Indifferent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Overestimated,Overestimated,Overestimated,Overestimated,2,1,1,2,2,4,4,5,3
23,18-24,Female,Other,"Rs. 50,000- 2,00,000",No,250,200,50,5000,300,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,0,1,1,0,0,1,0,0,0,1,Digital,Indifferent,Spontaneous,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Accurate,Overestimated,Underestimated,Accurate,2,1,1,1,2,5,3,4,2
24,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,270,110,35,8000,310,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,0,1,1,1,1,1,1,1,1,1,Digital,Online,Indifferent,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Underestimated,Accurate,Accurate,Accurate,2,1,1,1,1,5,5,3,4
25,18-24,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000",No,200,150,65,,,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,0,1,1,0,0,1,1,1,1,1,Digital,Online,Spontaneous,Indifferent,0,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Underestimated,Overestimated,Accurate,Accurate,2,2,1,1,2,5,5,5,3
26,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,300,200,70,,,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,1,1,1,1,1,1,1,1,1,1,Digital,Online,Spontaneous,Less Frequent,0.05,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Accurate,Accurate,Overestimated,Accurate,Accurate,1,1,1,1,2,5,5,5,1
27,18-24,Female,Other,"Below Rs. 50,000","Yes, but only for myself",250,350,35,12000,200,Fairly Charged,Overcharged,Overcharged,Fairly Charged,Fairly Charged,0,1,1,1,1,1,1,1,1,1,Digital,Online,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Accurate,Overestimated,Accurate,Overestimated,Underestimated,1,2,2,1,1,5,5,5,1
28,18-24,Male,Other,"Rs. 50,000- 2,00,000",No,250,450,40,10000,300,Fairly Charged,Overcharged,Fairly Charged,Overcharged,Overcharged,0,0,0,0,0,0,0,1,1,0,Digital,Online,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,1,2,1,2,2,5,5,5,1
29,18-24,Male,Other,"Rs. 50,000- 2,00,000",No,250,450,40,8000,250,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,0,1,0,0,1,1,1,1,1,Digital,Offline,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Overestimated,Accurate,Accurate,Accurate,2,2,2,2,2,5,2,2,2
30,18-24,Female,Other,"Rs. 2,00,000- 5,00,000",No,300,500,40,10000,400,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,0,1,1,1,0,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,2,1,1,1,1,5,5,5,4
31,18-24,Female,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,400,40,8000,250,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,0,0,1,0,0,0,0,1,1,0,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Overestimated,Accurate,Accurate,Accurate,2,2,1,1,2,5,5,4,4
32,18-24,Male,Other,"Rs. 50,000- 2,00,000",No,220,450,40,10000,250,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,0,0,0,0,0,0,1,1,0,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,2,2,2,2,2,5,5,5,5
33,25-34,Male,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,400,30,10000,250,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,0,0,0,0,0,0,1,1,0,Digital,Online,Spontaneous,More Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Underestimated,Overestimated,Accurate,2,2,2,2,2,4,4,5,5
34,18-24,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000",No,250,400,40,10000,300,Overcharged,Overcharged,Fairly Charged,Overcharged,Overcharged,0,0,0,0,0,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,2,2,1,2,2,5,5,4,4
35,18-24,Female,Other,"Rs. 2,00,000- 5,00,000",No,300,500,45,12000,400,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,0,1,1,1,0,1,1,1,1,1,Digital,Online,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,2,2,1,1,2,5,4,5,2
36,18-24,Female,Other,"Rs. 50,000- 2,00,000",No,300,450,40,8000,300,Overcharged,Overcharged,Fairly Charged,Overcharged,Overcharged,0,0,0,0,0,1,1,1,1,1,Indifferent,Indifferent,Indifferent,Indifferent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Accurate,Accurate,2,2,1,2,2,3,3,3,3
37,25-34,Female,Bangalore,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",300,600,50,3000,400,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,1,1,1,1,1,1,1,0,1,1,Digital,Indifferent,Spontaneous,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Overestimated,Overestimated,Underestimated,Overestimated,2,1,1,1,2,5,3,5,4
38,18-24,Male,Bangalore,"Below Rs. 50,000","Yes, but only for myself",200,500,45,6000,400,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,1,1,1,1,1,1,0,0,0,1,Digital,Online,Spontaneous,More Frequent,0.1,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Overestimated,Accurate,Underestimated,Overestimated,2,1,1,1,2,4,4,5,5
39,18-24,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",240,100,45,3000,150,Overcharged,Fairly Charged,Overcharged,Fairly Charged,Overcharged,1,1,1,1,1,0,0,0,0,1,Digital,Indifferent,Indifferent,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Underestimated,Accurate,Underestimated,Underestimated,2,1,2,1,2,4,3,3,2
40,18-24,Female,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",200,150,10,30000,400,Undercharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,1,1,1,1,1,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0.1,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Underestimated,Underestimated,Overestimated,Overestimated,0,1,1,1,2,5,5,5,5
41,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,350,400,40,40000,200,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,1,0,1,0,0,1,1,1,1,1,Digital,Offline,Spontaneous,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Overestimated,Overestimated,Accurate,Overestimated,Underestimated,2,1,1,2,2,5,1,5,5
42,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,400,360,80,9000,150,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,0,1,1,1,0,1,1,1,1,1,Digital,Offline,Spontaneous,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Overestimated,Overestimated,Overestimated,Accurate,Underestimated,2,1,1,2,2,5,1,5,1
43,18-24,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",400,350,50,25000,250,Fairly Charged,Overcharged,Overcharged,Fairly Charged,Fairly Charged,1,1,1,1,1,0,1,0,1,1,Digital,Online,Indifferent,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,1,2,2,1,1,5,5,3,4
44,18-24,Female,Other,"Above Rs. 5,00,000","Yes, but only for myself",250,200,40,15000,300,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,1,1,1,0,0,0,1,1,1,1,Digital,Offline,Pre Planned,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Accurate,Accurate,Overestimated,Accurate,1,1,1,2,2,5,1,1,5
45,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000","Yes, but only for myself",550,500,50,20000,230,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,0,0,1,1,1,1,1,0,0,1,Indifferent,Offline,Spontaneous,More Frequent,0.2,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,1,1,1,2,1,3,2,4,4
46,18-24,Female,Bangalore,"Rs. 2,00,000- 5,00,000",No,350,450,40,12000,230,Fairly Charged,Overcharged,Fairly Charged,Overcharged,Fairly Charged,1,0,1,1,0,1,1,1,0,1,Digital,Online,Indifferent,Indifferent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Underestimated,1,2,1,2,1,5,4,3,3
47,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000",No,300,400,40,10000,250,Fairly Charged,Overcharged,Fairly Charged,Overcharged,Overcharged,1,1,0,0,0,1,1,1,0,1,Digital,Offline,Pre Planned,More Frequent,0.1,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,1,2,1,2,2,4,2,1,5
48,18-24,Female,Kolkata,"Rs. 2,00,000- 5,00,000",No,380,400,150,14000,250,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,0,0,0,0,0,1,1,1,1,1,Digital,Indifferent,,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,1,1,1,1,2,4,3,,4
49,25-34,Male,Bangalore,"Above Rs. 5,00,000","Yes, but only for myself",350,300,70,15000,200,Overcharged,Overcharged,Undercharged,Overcharged,Overcharged,0,0,0,1,0,1,1,1,1,1,Digital,Online,Indifferent,,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Accurate,Overestimated,Overestimated,Underestimated,2,2,0,2,2,4,4,3,
50,18-24,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000",No,220,280,50,13000,175,Overcharged,Overcharged,Undercharged,Overcharged,Overcharged,0,0,0,0,0,1,1,1,1,1,Indifferent,Indifferent,Indifferent,Indifferent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,2,2,0,2,2,3,3,3,3
51,18-24,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,400,70,16000,250,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,1,0,0,0,1,1,1,1,1,Digital,Offline,Pre Planned,Indifferent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Overestimated,Overestimated,Accurate,2,2,2,2,2,5,2,2,3
52,18-24,Female,Mumbai,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",800,600,60,9000,200,Overcharged,Overcharged,Fairly Charged,Overcharged,Overcharged,1,1,1,1,1,1,1,1,1,1,Digital,Indifferent,Spontaneous,More Frequent,0.2,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Overestimated,Overestimated,Overestimated,Accurate,Underestimated,2,2,1,2,2,5,3,4,4
53,18-24,Female,Mumbai,"Rs. 50,000- 2,00,000","Yes, but only for myself",1500,500,30,45000,75,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,0,0,1,1,1,1,1,1,0,1,Indifferent,Offline,Indifferent,Less Frequent,0.1,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Underestimated,Overestimated,Underestimated,1,1,1,1,2,3,1,3,2
54,25-34,Female,Kolkata,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",220,300,50,18000,200,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,0,0,0,0,0,1,1,1,1,1,Digital,Online,Pre Planned,Less Frequent,0.1,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,2,1,1,2,1,5,5,2,2
55,18-24,Male,Mumbai,"Rs. 2,00,000- 5,00,000",No,330,300,50,18000,250,Overcharged,Overcharged,Fairly Charged,Overcharged,Fairly Charged,1,0,1,0,1,1,1,1,1,1,Digital,Online,Pre Planned,Indifferent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Excessive Time,Overestimated,Accurate,Overestimated,Overestimated,Accurate,2,2,1,2,1,4,5,2,3
56,18-24,Female,Mumbai,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,400,50,5000,450,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,1,1,1,1,1,1,1,0,0,1,Digital,Online,Spontaneous,More Frequent,0.1,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Overestimated,Overestimated,Underestimated,Overestimated,2,1,1,2,2,5,4,4,4
