,Unnamed: 0,Age,Gender,Location,Income,Decision maker,movie ticket,medium pizza,coca cola,oven,shampoo,Leisure; entertainment and travel.1,Food and dishes.1,Commodities and groceries.1,Productivity; gadgets and technology.1,Lifestyle; beauty and clothing.1,decrease Leisure; entertainment and travel,decrease Food and dishes,decrease Commodities and groceries,decrease Productivity; gadgets and technology,decerase Lifestyle; beauty and clothing,payment preference,shopping preference,planned or preplanned,transaction frequency,willingness for additional charges,feeling towards discount_online,brand charges more than another_online,time category,movie ticket price,medium pizza price,coca cola price,oven price,shampoo price,Leisure; entertainment and travel,Food and dishes,Commodities and groceries,Productivity; gadgets and technology,Lifestyle; beauty and clothing,Age_encoded,feeling towards discount,brand charges more than another,Payment Preference,Shopping Preference,Spontaneous or Preplanned,Transaction Frequency
14,14,18-24,Male,Delhi/NCR,"Below Rs. 50,000","Yes, for the whole household",350,375,50,9000,250,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Indifferent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Moderate Time,Overestimated,Overestimated,Overestimated,Accurate,Accurate,2,2,2,1,2,0,2,2,4,4,2,3
15,15,18-24,Female,Delhi/NCR,"Below Rs. 50,000",No,350,370,60,3000,180,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Spontaneous,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Overestimated,Underestimated,Underestimated,2,2,1,1,2,0,1,1,5,1,5,5
16,16,18-24,Female,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",300,500,50,6000,200,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Indifferent,Less Frequent,0.1,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Overestimated,Overestimated,Underestimated,Underestimated,2,1,1,1,2,0,2,2,4,5,3,2
17,17,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",250,500,40,8000,400,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Indifferent,Indifferent,0.1,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Overestimated,Accurate,Accurate,Overestimated,1,2,1,1,2,0,0,1,3,3,3,3
18,18,18-24,Female,Other,"Rs. 50,000- 2,00,000",No,300,250,20,10000,200,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Digital,Online,Pre Planned,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Underestimated,Overestimated,Underestimated,1,2,1,1,2,0,1,2,5,5,1,1
19,19,18-24,Female,Other,"Below Rs. 50,000",No,100,200,50,5000,120,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Underestimated,Accurate,Overestimated,Underestimated,Underestimated,1,2,1,2,2,0,1,1,5,1,1,5
20,20,18-24,Female,Other,,"Yes, but only for myself",250,175,40,12000,140,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Digital,Indifferent,Pre Planned,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Very Little Time,Accurate,Underestimated,Accurate,Overestimated,Underestimated,2,1,1,1,2,0,1,0,5,3,2,4
21,21,18-24,Female,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",450,550,150,45000,275,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,No Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,1,1,1,1,1,0,1,0,5,3,5,2
22,22,18-24,Female,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,350,50,20000,650,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Digital,Online,Spontaneous,Indifferent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Overestimated,Overestimated,Overestimated,Overestimated,2,1,1,2,2,0,1,1,4,4,5,3
23,23,18-24,Female,Other,"Rs. 50,000- 2,00,000",No,250,200,50,5000,300,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Digital,Indifferent,Spontaneous,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Accurate,Overestimated,Underestimated,Accurate,2,1,1,1,2,0,2,0,5,3,4,2
24,24,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,270,110,35,8000,310,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Indifferent,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Underestimated,Accurate,Accurate,Accurate,2,1,1,1,1,0,1,1,5,5,3,4
25,25,18-24,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000",No,200,150,65,,,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,Indifferent,0,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Underestimated,Overestimated,Accurate,Accurate,2,2,1,1,2,0,0,0,5,5,5,3
26,26,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,300,200,70,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,Less Frequent,0.05,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Accurate,Accurate,Overestimated,Accurate,Accurate,1,1,1,1,2,0,0,1,5,5,5,1
27,27,18-24,Female,Other,"Below Rs. 50,000","Yes, but only for myself",250,350,35,12000,200,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Accurate,Overestimated,Accurate,Overestimated,Underestimated,1,2,2,1,1,0,1,1,5,5,5,1
28,28,18-24,Male,Other,"Rs. 50,000- 2,00,000",No,250,450,40,10000,300,No,No,No,No,No,No,No,Yes,Yes,No,Digital,Online,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,1,2,1,2,2,0,1,2,5,5,5,1
29,29,18-24,Male,Other,"Rs. 50,000- 2,00,000",No,250,450,40,8000,250,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Overestimated,Accurate,Accurate,Accurate,2,2,2,2,2,0,1,1,5,2,2,2
30,30,18-24,Female,Other,"Rs. 2,00,000- 5,00,000",No,300,500,40,10000,400,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,2,1,1,1,1,0,1,2,5,5,5,4
31,31,18-24,Female,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,400,40,8000,250,No,No,Yes,No,No,No,No,Yes,Yes,No,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Overestimated,Accurate,Accurate,Accurate,2,2,1,1,2,0,1,0,5,5,4,4
32,32,18-24,Male,Other,"Rs. 50,000- 2,00,000",No,220,450,40,10000,250,No,No,No,No,No,No,No,Yes,Yes,No,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,2,2,2,2,2,0,1,2,5,5,5,5
33,33,25-34,Male,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,400,30,10000,250,No,No,No,No,No,No,No,Yes,Yes,No,Digital,Online,Spontaneous,More Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Underestimated,Overestimated,Accurate,2,2,2,2,2,1,2,2,4,4,5,5
34,34,18-24,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000",No,250,400,40,10000,300,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,2,2,1,2,2,0,1,0,5,5,4,4
35,35,18-24,Female,Other,"Rs. 2,00,000- 5,00,000",No,300,500,45,12000,400,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,2,2,1,1,2,0,1,0,5,4,5,2
36,36,18-24,Female,Other,"Rs. 50,000- 2,00,000",No,300,450,40,8000,300,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Indifferent,Indifferent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Accurate,Accurate,2,2,1,2,2,0,1,2,3,3,3,3
37,37,25-34,Female,Bangalore,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",300,600,50,3000,400,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Digital,Indifferent,Spontaneous,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Overestimated,Overestimated,Underestimated,Overestimated,2,1,1,1,2,1,0,0,5,3,5,4
38,38,18-24,Male,Bangalore,"Below Rs. 50,000","Yes, but only for myself",200,500,45,6000,400,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Digital,Online,Spontaneous,More Frequent,0.1,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Overestimated,Accurate,Underestimated,Overestimated,2,1,1,1,2,0,0,1,4,4,5,5
39,39,18-24,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",240,100,45,3000,150,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Digital,Indifferent,Indifferent,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Underestimated,Accurate,Underestimated,Underestimated,2,1,2,1,2,0,1,2,4,3,3,2
40,40,18-24,Female,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",200,150,10,30000,400,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0.1,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Underestimated,Underestimated,Overestimated,Overestimated,0,1,1,1,2,0,0,1,5,5,5,5
41,41,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,350,400,40,40000,200,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Spontaneous,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Overestimated,Overestimated,Accurate,Overestimated,Underestimated,2,1,1,2,2,0,1,1,5,1,5,5
42,42,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,400,360,80,9000,150,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Spontaneous,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Overestimated,Overestimated,Overestimated,Accurate,Underestimated,2,1,1,2,2,0,1,1,5,1,5,1
43,43,18-24,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",400,350,50,25000,250,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Digital,Online,Indifferent,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,1,2,2,1,1,0,0,0,5,5,3,4
44,44,18-24,Female,Other,"Above Rs. 5,00,000","Yes, but only for myself",250,200,40,15000,300,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Accurate,Accurate,Overestimated,Accurate,1,1,1,2,2,0,1,2,5,1,1,5
45,45,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000","Yes, but only for myself",550,500,50,20000,230,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Indifferent,Offline,Spontaneous,More Frequent,0.2,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,1,1,1,2,1,0,1,0,3,2,4,4
46,46,18-24,Female,Bangalore,"Rs. 2,00,000- 5,00,000",No,350,450,40,12000,230,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Digital,Online,Indifferent,Indifferent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Underestimated,1,2,1,2,1,0,1,2,5,4,3,3
47,47,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000",No,300,400,40,10000,250,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Digital,Offline,Pre Planned,More Frequent,0.1,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,1,2,1,2,2,0,2,1,4,2,1,5
48,48,18-24,Female,Kolkata,"Rs. 2,00,000- 5,00,000",No,380,400,150,14000,250,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,1,1,1,1,2,0,1,1,4,3,,4
49,49,25-34,Male,Bangalore,"Above Rs. 5,00,000","Yes, but only for myself",350,300,70,15000,200,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Indifferent,,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Accurate,Overestimated,Overestimated,Underestimated,2,2,0,2,2,1,2,0,4,4,3,
50,50,18-24,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000",No,220,280,50,13000,175,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Indifferent,Indifferent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,2,2,0,2,2,0,2,2,3,3,3,3
51,51,18-24,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,400,70,16000,250,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,Indifferent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Overestimated,Overestimated,Accurate,2,2,2,2,2,0,0,2,5,2,2,3
52,52,18-24,Female,Mumbai,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",800,600,60,9000,200,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Spontaneous,More Frequent,0.2,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Overestimated,Overestimated,Overestimated,Accurate,Underestimated,2,2,1,2,2,0,1,1,5,3,4,4
53,53,18-24,Female,Mumbai,"Rs. 50,000- 2,00,000","Yes, but only for myself",1500,500,30,45000,75,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Indifferent,Offline,Indifferent,Less Frequent,0.1,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Underestimated,Overestimated,Underestimated,1,1,1,1,2,0,0,0,3,1,3,2
54,54,25-34,Female,Kolkata,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",220,300,50,18000,200,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Less Frequent,0.1,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,2,1,1,2,1,1,2,2,5,5,2,2
55,55,18-24,Male,Mumbai,"Rs. 2,00,000- 5,00,000",No,330,300,50,18000,250,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Indifferent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Excessive Time,Overestimated,Accurate,Overestimated,Overestimated,Accurate,2,2,1,2,1,0,2,2,4,5,2,3
56,56,18-24,Female,Mumbai,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,400,50,5000,450,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Digital,Online,Spontaneous,More Frequent,0.1,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Overestimated,Overestimated,Underestimated,Overestimated,2,1,1,2,2,0,0,0,5,4,4,4
57,57,18-24,Female,Other,"Above Rs. 5,00,000",No,250,200,80,6000,150,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Spontaneous,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Overestimated,Underestimated,Underestimated,2,2,2,2,2,0,1,2,5,3,5,5
58,58,25-34,Female,Mumbai,"Above Rs. 5,00,000","Yes, but only for myself",300,200,75,5000,95,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Less Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Overestimated,Underestimated,Underestimated,2,1,1,1,2,1,2,2,4,4,2,2
59,59,18-24,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",400,300,40,5000,200,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,Less Frequent,0.2,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Overestimated,Accurate,Accurate,Underestimated,Underestimated,2,1,1,2,2,0,2,1,5,1,1,1
60,60,18-24,Other,Mumbai,"Below Rs. 50,000",No,250,400,40,5000,400,No,No,No,No,No,No,No,No,No,Yes,Digital,Offline,Pre Planned,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Overestimated,Accurate,Underestimated,Overestimated,1,1,1,1,2,0,1,2,5,1,2,3
